FILE PATH	EXACT WORD COUNT	ROBOTS DIRECTIVE	CANONICAL STATUS	PASS/FAIL STATUS
404.html	76	(none)	VERIFIED	FAIL: UNDERSIZED
about.html	1359	index,follow,max-image-preview:large	VERIFIED	VERIFIED
account-deletion.html	401	index,follow	VERIFIED	VERIFIED
account.html	329	noindex, follow	VERIFIED	VERIFIED | SCHEMA MISSING
age-calculator.html	1214	index,follow,max-image-preview:large	VERIFIED	VERIFIED
ai-prompt-builder.html	1369	index,follow,max-image-preview:large	VERIFIED	VERIFIED
ai-token-calculator.html	1059	index,follow,max-image-preview:large	VERIFIED	VERIFIED
ai-vram-calculator.html	989	index,follow,max-image-preview:large	VERIFIED	VERIFIED
app.html	395	noindex, follow	VERIFIED	VERIFIED
aqi-live.html	328	noindex, follow	VERIFIED	VERIFIED
articles.html	434	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/ai-photo-restoration-vs-enhancement.html	447	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/ai-search-planning-decisions-2026.html	955	noindex, follow	VERIFIED	VERIFIED
articles/ai-token-count-context-window-guide.html	696	noindex, follow	VERIFIED	VERIFIED
articles/amd-adrenalin-26-8-1-modern-warfare-4.html	358	noindex, follow	VERIFIED	VERIFIED
articles/background-removal-online-guide.html	495	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/chrome-152-for-android-adds-desktop-security-fixes.html	398	noindex,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/cloudflare-introduces-context-aware-vulnerability-remediation.html	399	noindex,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/compress-images-for-web.html	984	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/cs2-valorant-sensitivity-edpi-guide.html	382	index,follow,max-image-preview:large	VERIFIED	FAIL: UNDERSIZED
articles/emi-calculator-explained.html	650	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/github-copilot-global-model-policy-enforces-default-states.html	409	noindex,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/github-copilot-in-visual-studio-august-2026-update-details.html	423	noindex,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/github-copilot-in-vs-code-receives-august-2026-agent-updates.html	698	noindex,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/github-copilot-model-access-ties-to-billing-org-for-team-plans.html	321	noindex,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/google-august-2026-spam-update-traffic-drop.html	1150	noindex, follow	VERIFIED	VERIFIED
articles/google-preferred-sources-2026.html	613	noindex, follow	VERIFIED	VERIFIED
articles/google-releases-chrome-152-for-android.html	409	noindex,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/google-releases-chrome-152-with-327-security-fixes.html	427	noindex,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/google-search-console-platform-properties-2026.html	987	noindex, follow	VERIFIED	VERIFIED
articles/gpt-5-6-sol-context-window-guide.html	659	noindex, follow	VERIFIED	VERIFIED
articles/hex-vs-rgb-colors.html	601	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/jpg-png-webp-avif-guide.html	748	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/merge-pdf-privately.html	670	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/modern-warfare-4-beta-pc-checklist.html	498	noindex, follow	VERIFIED	VERIFIED
articles/pomodoro-focus-workflow.html	614	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/qr-code-best-practices.html	691	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/remove-exif-gps-metadata-photos.html	1118	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/resume-mistakes-to-fix.html	635	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/simple-invoice-checklist-guide.html	599	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/split-pdf-organize-pages.html	652	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/typing-speed-wpm-accuracy-guide.html	571	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/unix-timestamps-explained.html	589	index,follow,max-image-preview:large	VERIFIED	VERIFIED
articles/windows-11-august-2026-rgb-gaming-crashes.html	383	noindex, follow	VERIFIED	VERIFIED
articles/youtube-thumbnail-size-guide-2026.html	530	index,follow,max-image-preview:large	VERIFIED	VERIFIED
avif-to-jpg.html	1071	noindex,follow	VERIFIED	VERIFIED
bill-split-tip-calculator.html	1229	index,follow	VERIFIED	VERIFIED
bmi-calculator.html	966	index,follow,max-image-preview:large	VERIFIED	VERIFIED
calculator-tools.html	2088	index,follow,max-image-preview:large	VERIFIED	VERIFIED
calculator.html	1048	index,follow,max-image-preview:large	VERIFIED	VERIFIED
cancellation-policy.html	408	index,follow	VERIFIED	VERIFIED | SCHEMA MISSING
categories.html	371	index,follow,max-image-preview:large	VERIFIED	FAIL: UNDERSIZED
contact.html	487	index,follow,max-image-preview:large	VERIFIED	VERIFIED
contrast-checker.html	348	index,follow,max-image-preview:large	VERIFIED	FAIL: UNDERSIZED
crypto-live.html	340	noindex, follow	VERIFIED	VERIFIED
csv-json-converter.html	377	index,follow,max-image-preview:large	VERIFIED	FAIL: UNDERSIZED
currency-rates.html	430	noindex, follow	VERIFIED	VERIFIED
daily-tools-directory.html	378	noindex, follow	VERIFIED	VERIFIED
date-difference-calculator.html	1159	index,follow,max-image-preview:large	VERIFIED	VERIFIED
decision-matrix-calculator.html	792	index,follow,max-image-preview:large	VERIFIED	VERIFIED
developer-tools.html	1537	index,follow,max-image-preview:large	VERIFIED	VERIFIED
digital-delivery-policy.html	402	index,follow	VERIFIED	VERIFIED | SCHEMA MISSING
disclaimer.html	1932	index,follow,max-image-preview:large	VERIFIED	VERIFIED
discount-calculator.html	1094	index,follow,max-image-preview:large	VERIFIED	VERIFIED
dns-lookup.html	511	index,follow,max-image-preview:large	VERIFIED	VERIFIED
earthquakes-live.html	374	noindex, follow	VERIFIED	VERIFIED
editorial-policy.html	473	index,follow,max-image-preview:large	VERIFIED	VERIFIED | SCHEMA MISSING
editorial-team.html	354	index,follow,max-image-preview:large	VERIFIED	FAIL: UNDERSIZED
edpi-calculator.html	1382	index,follow,max-image-preview:large	VERIFIED	VERIFIED
electricity-bill-calculator-pakistan.html	926	index,follow,max-image-preview:large	VERIFIED	VERIFIED
emi-calculator.html	1287	index,follow,max-image-preview:large	VERIFIED	VERIFIED
faq.html	606	index,follow,max-image-preview:large	VERIFIED	VERIFIED
fps-frame-time-calculator.html	433	index,follow,max-image-preview:large	VERIFIED	VERIFIED
fuel-rates.html	718	noindex, follow	VERIFIED	VERIFIED
gamer-name-generator.html	1890	index,follow	VERIFIED	VERIFIED
gaming-sensitivity-converter.html	866	index,follow,max-image-preview:large	VERIFIED	VERIFIED
gaming-settings-notes.html	519	index,follow,max-image-preview:large	VERIFIED	VERIFIED
gaming.html	416	noindex, follow	VERIFIED	VERIFIED
gold-rates.html	475	noindex, follow	VERIFIED	VERIFIED
guides.html	388	index,follow,max-image-preview:large	VERIFIED	FAIL: UNDERSIZED
guides/ai-prompting.html	388	index,follow,max-image-preview:large	VERIFIED	FAIL: UNDERSIZED
guides/image-compression.html	424	index,follow,max-image-preview:large	VERIFIED	VERIFIED
guides/jpg-to-pdf.html	526	index,follow,max-image-preview:large	VERIFIED	VERIFIED
guides/password-security.html	406	index,follow,max-image-preview:large	VERIFIED	VERIFIED
guides/percentage-basics.html	378	index,follow,max-image-preview:large	VERIFIED	FAIL: UNDERSIZED
guides/resume-writing.html	428	index,follow,max-image-preview:large	VERIFIED	VERIFIED
guides/unit-conversion.html	346	index,follow,max-image-preview:large	VERIFIED	FAIL: UNDERSIZED
guides/weighted-decision-matrix.html	1236	index,follow,max-image-preview:large	VERIFIED	VERIFIED
heic-to-jpg.html	1058	noindex,follow	VERIFIED	VERIFIED
homepage-adsense-compact-preview-v2.html	0	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
homepage-humanproof-compact-preview-v1.html	173	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-checkout.html	230	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-elite-credential-card-preview-v5.html	84	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-gold-metal-card-preview-v3.html	79	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-live-payment-preview.html	187	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-mixed-metal-card-preview-v4.html	83	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-payment-cancelled.html	51	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-payment-success.html	77	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-pricing.html	14	noindex, follow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-ultra-credential-card-preview-v10.html	0	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-ultra-credential-card-preview-v11.html	0	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-ultra-credential-card-preview-v12.html	0	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-ultra-credential-card-preview-v13.html	0	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-ultra-credential-card-preview-v14.html	0	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-ultra-credential-card-preview-v15.html	0	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-ultra-credential-card-preview-v6.html	113	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-ultra-credential-card-preview-v7.html	0	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-ultra-credential-card-preview-v8.html	0	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
humanproof-ultra-credential-card-preview-v9.html	0	noindex,nofollow	VERIFIED	VERIFIED | SCHEMA MISSING
